date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,-3.2,-4.9,-1.1,0,0,120.4,3.6,9,1025,66
2017-01-02,-0.5,-1.3,-0.1,1.7,0,187.3,2.5,11.2,1024.9,0
2017-01-03,-1.4,-2.8,-0.6,0,30,186.4,5,22,1029.4,0
2017-01-04,-0.3,-2.1,1.2,0.5,30,193.3,19.1,40,1021.8,0
2017-01-05,-1.7,-8.5,1.7,1.2,40,55.3,8.6,41.4,1029.2,144
2017-01-06,-7.6,-11.8,-2.2,0,30,40.2,6.1,25.6,1040.1,444
2017-01-07,-6.2,-11.9,-2.5,0,30,191.6,7.2,24.8,1036.4,30
2017-01-08,-1.3,-3.2,0.1,1,40,200.2,5.4,19.1,1032.8,0
2017-01-09,0.4,-1,1.8,0,30,193.4,7.9,25.2,1028.1,0
2017-01-10,0.5,-0.2,1.8,8.5,40,200.5,6.1,28.4,1013.4,0
2017-01-11,2.9,0.4,5.8,0.5,20,195.9,18,51.1,1015.1,0
2017-01-12,5.7,3.8,9.4,3.4,0,201.1,16.2,86.4,1011.4,0
2017-01-13,2.8,0,7.1,0.5,0,233.7,22.7,90.4,1006.3,78
2017-01-14,1.5,-0.9,3,0.5,0,239,13.3,30.6,1015.7,0
2017-01-15,-0.4,-2.3,1.8,1.3,40,196.7,9,22,1022.5,42
2017-01-16,-1.9,-4.9,0.9,1.2,50,356.2,9,27.7,1025.7,132
2017-01-17,-3.2,-6.4,-0.3,0,30,31.2,16.6,45.4,1032.3,168
2017-01-18,-3.1,-7.9,0.9,0,20,40.1,14.4,34.6,1033.9,390
2017-01-19,-6.1,-9.3,-1.4,0,20,7.7,8.6,19.8,1034.4,432
2017-01-20,-6.4,-11.1,-1,0,20,208.1,4.3,12.6,1033.3,456
2017-01-21,-6.6,-11,-0.7,0,20,13,3.2,11.2,1030.6,456
2017-01-22,-7.2,-11.2,-5.1,0,20,236.9,3.6,14,1027.6,0
2017-01-23,-5.9,-6.8,-5,0,20,95.6,5.8,16.6,1027.3,0
2017-01-24,-4.5,-6,-3.2,0,10,121.3,6.8,23.4,1028.8,0
2017-01-25,-5.6,-10.5,-3.6,0,10,31.4,12.6,27,1029.7,54
2017-01-26,-6.1,-9.8,-1,0,10,222.5,4.3,11.9,1026,348
2017-01-27,-5.2,-10.2,1.1,0,10,297.1,4.3,16.9,1022.3,330
2017-01-28,-2.5,-7.2,4.6,0,10,309.9,3.2,13.7,1021.3,366
2017-01-29,1.1,-5.6,9.2,0,0,198,5.4,21.6,1023.1,96
2017-01-30,3.9,-2.6,7.3,2.3,0,195.3,12.2,38.2,1017.1,0
2017-01-31,5.4,1.9,8.1,3.4,0,223.9,10.8,23,1016.1,0
2017-02-01,2.4,1,4.4,0.2,0,341,3.2,16.6,1017.6,0
2017-02-02,4.5,0.7,10.2,0,0,39.4,5,20.2,1011.5,234
2017-02-03,8.7,4.7,12.2,1.4,0,186.5,15.5,50.4,1007.7,324
2017-02-04,6.4,1.5,9.3,1.5,0,189.3,18,67.3,1003.4,12
2017-02-05,3.5,-0.6,6.5,12,0,191.7,6.1,22,1004.3,0
2017-02-06,3.8,-0.4,6.5,4.4,0,153.7,3.6,11.2,1015.9,12
2017-02-07,3.7,-0.4,7.3,0.9,0,86.9,4.7,14,1017.9,36
2017-02-08,3.7,0.6,6.3,0,0,18.8,7.6,21.6,1021,0
2017-02-09,0.6,-3.2,4.3,0,0,27.9,11.5,29.2,1023.7,306
2017-02-10,1.1,-0.6,2.5,1.2,0,313.3,4.7,14.4,1020.4,0
2017-02-11,1.1,-2.6,3.5,0.4,0,359.8,6.1,19.1,1019.8,0
2017-02-12,2.7,-1.6,7.6,0.5,0,1.6,10.1,24.5,1023.8,66
2017-02-13,1.5,-4.5,7.3,0,0,43,7.6,25.9,1026.4,420
2017-02-14,1.3,-3.8,7.8,0,0,287,5.4,16.2,1030.1,516
2017-02-15,3.4,-3.3,12.7,0,0,283.3,3.2,19.8,1035.2,534
2017-02-16,7.4,-0.7,16,0,0,204,7.6,20.5,1031.7,498
2017-02-17,7.4,5.8,10.4,15.1,0,188.2,8.6,29.5,1028,156
2017-02-18,5.5,-1.1,10.8,0.3,0,38,6.5,22,1027.1,438
2017-02-19,4.6,-3.5,11.6,0,0,205.1,7.6,24.5,1025.2,432
2017-02-20,8,5.9,10.3,0.7,0,196.3,16.9,38.9,1023.7,0
2017-02-21,10.5,8.2,13.2,0.4,0,209.3,18,39.6,1019.7,0
2017-02-22,10.4,9.1,12.1,0,0,213.7,20.2,49.7,1016.9,0
2017-02-23,11.6,4.1,19.9,0.3,0,217.1,24.1,70.2,1007.4,306
2017-02-24,4.9,-1.3,9.5,1.9,0,217.6,13.3,46.8,1015.3,66
2017-02-25,3.6,-2.7,10.3,0,0,235.6,4.7,19.1,1022.5,576
2017-02-26,7.1,1.2,13.2,0,0,194.6,12.2,34.2,1017.5,222
2017-02-27,9.8,-0.4,16.5,0.4,0,196.3,16.9,73.1,1006.3,552
2017-02-28,5.7,3.5,8.4,14.7,0,200.6,22,59.4,999.7,24
2017-03-01,7,4.6,9.7,0,0,199.6,27.4,60.1,1007.7,0
2017-03-02,8.5,1.1,12.7,2.9,0,225.7,21.2,59.8,1015.4,540
2017-03-03,6.1,-0.8,12.5,0,0,175,5.8,19.8,1009.8,144
2017-03-04,5.8,-0.4,12.6,1.2,0,298.7,11.9,61.2,997.2,114
2017-03-05,7.5,5,11.6,0.5,0,195.4,23,62.6,1004.7,198
2017-03-06,6.7,5.1,9.6,7.5,0,202.3,16.2,39.6,1005.4,78
2017-03-07,6,4.7,8.7,3.4,0,219.8,13.3,38.2,1017.2,18
2017-03-08,6,-0.3,10.3,0.3,0,192.5,16.2,44.6,1022.4,120
2017-03-09,10.5,7.5,11.6,5.1,0,191.2,14.8,29.5,1022.1,0
2017-03-10,7.7,1.8,12.7,0,0,18.5,6.5,20.2,1027,630
2017-03-11,6.4,-1.5,13.9,0,0,304.5,6.1,19.4,1021.5,570
2017-03-12,7.3,0.2,15.6,0,0,315,5.8,21.6,1015.2,618
2017-03-13,6.2,-0.9,13.2,0,0,25.2,6.5,24.5,1024.5,606
2017-03-14,7.5,-0.6,16.3,0,0,343.4,4.7,22.3,1032.6,546
2017-03-15,8.5,0.8,16.5,0,0,4.8,7.9,28.4,1031.4,588
2017-03-16,9.5,0.8,18.1,0,0,2.2,5.8,21.2,1024.4,648
2017-03-17,11.4,3.7,20.7,0,0,228.7,15.1,45.4,1017.4,456
2017-03-18,9.7,8,11.8,0.2,0,207.5,20.2,40.3,1015.2,0
2017-03-19,12.2,10.2,15.4,0,0,198.7,18.7,43.9,1015.1,30
2017-03-20,12.5,9.8,16.2,0,0,227,11.2,36.4,1013.4,60
2017-03-21,9.7,5,13.9,6.2,0,253.8,13.3,36.4,1012.8,24
2017-03-22,6.4,4.5,8.7,3.6,0,358.9,6.1,15.1,1014.1,12
2017-03-23,10.4,4.1,17.3,0,0,36.8,13.3,39.2,1013.4,642
2017-03-24,8.8,5.1,13.7,0,0,15,11.9,30.6,1023,12
2017-03-25,10.2,2.2,19.3,0,0,24.4,16.6,41.4,1021.6,666
2017-03-26,9.2,0.2,16.3,0,0,,9,27.7,1021.2,690
2017-03-27,11.1,3.6,17.9,0,0,13.6,7.2,32,1021.9,702
2017-03-28,13.3,3.3,21.8,0,0,210.8,7.9,32,1023.6,576
2017-03-29,13.6,6.1,20.3,0,0,171.8,5.8,19.8,1027.2,672
2017-03-30,13.5,4.4,21.7,0,0,19.9,5.4,16.9,1025.1,684
2017-03-31,15.2,5.8,24.3,0,0,193.9,11.5,41,1017.3,618
2017-04-01,12.4,6.7,19.9,0,0,303.7,7.2,33.8,1013.2,264
2017-04-02,11.6,8.4,15.9,0.7,0,24.7,8.6,28.1,1019,156
2017-04-03,12.7,5.8,19.5,0,0,26.5,11.2,34.2,1023,618
2017-04-04,11,6.8,17.4,0,0,20.5,5.4,29.9,1022.3,318
2017-04-05,11.3,5.6,16.9,0,0,5,9.7,31.7,1023,582
2017-04-06,8.4,2.4,11.7,0,0,13.8,15.5,38.9,1026.3,612
2017-04-07,8.9,0.1,16.8,0,0,4.3,5.8,22.3,1025.1,720
2017-04-08,11.1,2.5,19.5,0,0,20.7,6.5,22,1023.5,726
2017-04-09,13.8,3.7,23.7,0,0,290.3,5.4,16.2,1022.8,738
2017-04-10,16.3,7.4,25.6,0,0,230.7,15.5,41,1019.9,642
2017-04-11,9.7,3.8,14.9,0,0,9.9,10.4,28.8,1025,492
2017-04-12,12.3,1.7,21,0,0,220.2,9.7,36.7,1019.3,618
2017-04-13,13.1,9.6,17.8,0,0,288.5,9.4,26.6,1016.4,276
2017-04-14,12.1,7.4,16.1,0,0,209.2,5.8,23.8,1017.1,60
2017-04-15,11.2,7.3,14.6,0.4,0,215.9,9.7,31.3,1017.9,36
2017-04-16,9.1,7.1,12.3,3.3,0,230.9,10.1,35.6,1021.3,6
2017-04-17,7.7,2.8,12,4.2,0,210.8,12.2,45.4,1019.1,0
2017-04-18,4.4,0.6,8.8,0.1,0,349.2,10.1,46.1,1024.8,300
2017-04-19,3.8,-2,8.1,0,0,25.8,17.6,46.4,1031.3,252
2017-04-20,4,-2.9,10.3,0,0,22.5,8.3,34.6,1034.8,666
2017-04-21,7.7,-2.1,16,0,0,87,6.1,17.3,1031,654
2017-04-22,7.7,0.7,13.7,0,0,227.9,9.4,31,1025.3,0
2017-04-23,7.1,1.2,12.7,0,0,23.1,9.4,26.3,1024.6,732
2017-04-24,10.3,0.4,20,0,0,299.7,5.4,24.8,1015.6,780
