date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,6.2,5.3,7,0.6,0,212.2,9.7,39.2,1032.4,0
2019-01-02,3.2,-2.5,6.1,0.3,0,323.9,12.6,46.8,1035.1,65
2019-01-03,-0.8,-4.7,1.3,0.1,0,172.6,4,13,1039.3,68
2019-01-04,1,-2.3,3.3,0,0,113.1,5,18.7,1037.9,149
2019-01-05,2,0.3,3.7,3.8,0,196.6,14.4,30.2,1033.6,0
2019-01-06,3.5,2.9,4.2,1,0,188.2,5.8,18,1034,0
2019-01-07,3.5,2.4,4.8,0.2,0,195.5,8.3,35.3,1034.2,0
2019-01-08,4.4,2.1,8,0.8,0,224.9,19.8,48.6,1022.2,27
2019-01-09,3,0.3,4.9,0.8,0,320,15.5,57.2,1017.7,38
2019-01-10,0.9,-2,2.1,0.1,0,29.7,9,30.6,1024.6,0
2019-01-11,-0.4,-1.9,0.7,1.1,0,200.3,10.8,32.8,1027.8,0
2019-01-12,2.5,0.4,4.2,2.5,0,200.8,19.1,43.2,1024.8,0
2019-01-13,6.2,3.7,9.5,3.7,0,202.6,20.5,42.5,1012.9,0
2019-01-14,5.6,0.1,9,5.2,0,278.5,11.2,45,1015.4,17
2019-01-15,4.3,0.9,6.9,0,0,204.2,11.2,23.8,1023.7,45
2019-01-16,3.6,-1.6,7.4,0,0,209.8,8.3,30.2,1015.1,279
2019-01-17,5.9,-0.3,8.6,2.2,0,224.6,19.1,54.7,1010.7,79
2019-01-18,1.1,-2.2,4.4,0,0,148.7,6.1,17.3,1019.8,153
2019-01-19,-2.2,-5.5,1.8,0,0,18.6,4,12.6,1016.5,371
2019-01-20,-2.3,-4.8,-0.8,0.1,30,22.6,6.1,15.8,1016.2,0
2019-01-21,-3.4,-8.9,-0.8,0,10,11,8.3,19.4,1021.7,0
2019-01-22,-2.9,-9.5,1.4,0,0,164.1,4.7,20.2,1011.4,0
2019-01-23,-1.7,-4,-0.4,0.4,0,44.5,9,25.6,999.5,0
2019-01-24,-2.2,-3.8,-1.3,0,0,24.8,5,19.8,1010.9,0
2019-01-25,-1.2,-4.9,1.7,0.1,0,195.6,11.9,29.9,1018.5,0
2019-01-26,3.5,0.4,6.5,0.2,0,198.3,20.5,42.1,1013.3,30
2019-01-27,6.6,0.8,9.1,0.2,0,210.2,25.2,54,995.5,30
2019-01-28,2.8,0.4,4.3,0.9,0,221.9,19.1,44.6,1002.3,0
2019-01-29,2.3,0.3,5.5,0.1,0,186.7,10.4,25.6,1006.3,265
2019-01-30,2.1,-0.6,3.8,0,0,196.5,21.6,67.3,996.6,39
2019-01-31,1.7,-2.9,5.3,0.2,0,179.3,8.3,28.8,996.8,118
2019-02-01,3.3,1.4,5.3,5.4,0,314.1,6.1,18.4,990.7,0
2019-02-02,4.9,1.8,9.1,0,0,269.3,7.6,23.4,997.3,133
2019-02-03,2.9,0.2,4.4,1.6,0,354.5,15.8,44.6,1017.8,0
2019-02-04,1.6,-3.3,6.3,0,0,156.8,5.8,25.9,1029.5,438
2019-02-05,1,-3.3,6.4,0,0,174.3,5,15.5,1029.7,520
2019-02-06,0.3,-4.1,6.8,0,0,211.8,6.1,15.1,1026.8,507
2019-02-07,2.7,-2.7,7.2,0.3,0,206.9,12.2,33.8,1018.3,1
2019-02-08,7.2,4.4,10.4,0,0,195.4,16.9,37.8,1017.9,362
2019-02-09,9,6.6,11.6,0.6,0,204.5,20.9,53.3,1014.2,26
2019-02-10,9.8,5.7,14.3,2.1,0,208.1,28.8,85.3,1005.3,5
2019-02-11,4.2,1.2,6.5,2.8,0,226.9,10.4,36.7,1022,39
2019-02-12,2.6,-1.9,6.4,0,0,213.3,6.1,19.4,1036.3,108
2019-02-13,1.5,-4.6,8.1,0,0,350.3,4.7,15.8,1037.9,551
