date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013-01-01,6.8,-0.2,9,0.8,0,203.7,16.2,58.3,1011.8,0
2013-01-02,3.3,-2.5,8,0,0,201.4,7.6,18.4,1026.8,258
2013-01-03,3.7,-2.4,7.3,1.2,0,205,13.3,34.9,1037.3,0
2013-01-04,7.5,6.3,8.5,0.7,0,201.7,9.7,24.8,1038.3,0
2013-01-05,7,5.9,7.9,0,0,179.7,5,17.6,1035.3,0
2013-01-06,6.6,5.8,7.6,0,0,202.1,9,20.5,1033,0
2013-01-07,3.9,-0.4,6.3,0,0,205.6,6.8,21.2,1030.4,36
2013-01-08,2.2,-0.1,3.4,0,0,219.1,7.2,19.8,1029,0
2013-01-09,1.9,1.2,2.4,0,0,217.1,7.9,17.3,1024.1,0
2013-01-10,2.8,1.5,4.2,1.6,0,197.9,11.9,29.5,1016.5,0
2013-01-11,2.6,1.6,3.5,2.5,0,4.3,4.7,19.1,1016.5,0
2013-01-12,1.2,-0.9,2.8,0.6,0,3.9,11.2,22.3,1017.3,0
2013-01-13,-0.8,-1.4,0.4,0.1,0,12.9,10.8,21.6,1014.9,0
2013-01-14,-0.7,-1.3,0.7,0.1,0,36.2,5.4,13,1014.5,0
2013-01-15,0.2,-1.4,1.6,0.2,0,192,9,34.2,1007.2,0
2013-01-16,-2.7,-6,-0.2,0,30,359.8,5.4,15.5,1009.6,192
2013-01-17,-2.7,-3.7,-2,2.4,30,16.4,8.3,21.6,1014.9,0
2013-01-18,-1.9,-3.7,0.2,0,40,57.6,6.1,28.4,1008.7,30
2013-01-19,-2.1,-3.6,-0.9,2.4,40,12.9,7.9,25.9,996.2,18
2013-01-20,-1.3,-2.2,0.5,7.9,20,351.8,6.8,18.7,994.1,0
2013-01-21,0.5,-0.5,3.1,1.4,20,178,5.8,21.2,999.2,18
2013-01-22,1.3,-1.1,3.4,0,10,198.4,7.9,34.6,1004.6,12
2013-01-23,0,-1.1,1.3,0,0,13,7.2,22.3,1007.9,0
2013-01-24,-1.7,-2.7,-0.1,0,0,18.3,14.8,26.3,1012.1,0
2013-01-25,-1.9,-4,-0.7,0,0,14.4,9,21.2,1018.9,0
2013-01-26,-1.9,-6.7,1.4,0,0,168.8,7.6,25.2,1015.2,384
2013-01-27,3.2,-0.5,5.8,0,0,202.9,14.4,41.4,1011.6,78
2013-01-28,5.2,2.7,8.9,0,0,203.6,13.7,41.8,1017.5,258
2013-01-29,8.2,5.4,10,1.8,0,200.8,29.2,55.1,1019.1,0
2013-01-30,12.2,9,15.2,3.2,0,213.7,26.6,63,1017.3,0
2013-01-31,9.1,5.8,11.9,0.1,0,221.9,20.9,55.1,1022,270
2013-02-01,8.3,6.5,10.9,11.7,0,205.3,17.6,47.5,1006.1,0
2013-02-02,4,-0.7,7.9,12,0,317.1,11.9,47.5,1004.6,6
2013-02-03,2.5,-0.7,6,0,0,206.8,14,52.9,1021.3,114
2013-02-04,4.8,0.8,8.4,0.4,0,201.7,24.1,47.5,1017.7,0
2013-02-05,4.6,0.6,8.3,4.8,0,227.8,19.8,59.8,1007.8,42
2013-02-06,2.2,0.9,3.3,5.4,0,213.8,20.2,56.5,1000.4,0
2013-02-07,1,-0.7,3.9,2.5,10,224.9,10.8,29.9,1012.5,12
2013-02-08,0.4,-1.6,3.1,1.8,30,208.6,7.9,25.2,1015.1,60
2013-02-09,-1.4,-4.6,3.6,1,60,86,3.2,18.7,1019.5,192
2013-02-10,-2.6,-7.2,0.9,0,20,140.6,8.6,31.3,1013.3,438
2013-02-11,-1.7,-3.4,0,5.8,30,18.9,6.8,19.4,1002.2,0
