date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,4.6,1.9,7.1,0.2,0,172.3,7.2,22.7,1024.9,0
2016-01-02,5.4,1.1,7.5,6,0,176.7,8.3,27.7,1014.2,0
2016-01-03,6.7,4.9,8.6,0.1,0,182.1,11.9,41.4,1006.8,24
2016-01-04,6.4,2.6,8.4,4,0,198.6,17.3,41.4,994.4,24
2016-01-05,6.7,4.4,8.8,2.3,0,192.8,16.6,44.3,996.6,54
2016-01-06,5.8,4.6,6.7,3.5,0,179.8,11.5,32.4,1000.9,0
2016-01-07,6,2.3,9.2,6,0,189.5,13.3,55.8,999.9,30
2016-01-08,5.9,1.6,8.7,4,0,173.3,6.8,26.3,1006.5,120
2016-01-09,5.6,0.6,8.3,0,0,200.1,4,13.3,1003.6,0
2016-01-10,7,2,9.9,2.5,0,198.1,16.6,46.1,998.6,0
2016-01-11,6.8,4.7,9.1,16.1,0,190.5,18.4,65.2,993.9,30
2016-01-12,5.8,3.9,9.4,13.4,0,204.6,20.9,51.1,1002.7,66
2016-01-13,4.4,0.3,5.8,0.2,0,211.6,18.7,49.3,1017.2,0
2016-01-14,2.4,-2.2,6.7,0.3,0,196.1,13,45.4,1012.7,312
2016-01-15,2,0.8,3.7,0.8,0,219.9,20.9,51.5,1014.1,0
2016-01-16,1.1,-1.2,3,2.5,0,214.9,8.6,32.8,1023.6,48
2016-01-17,-0.7,-6.2,1.3,0.2,20,227.2,9.7,37.4,1025.7,162
2016-01-18,-4.2,-7.8,-1,0,30,141.9,5.8,21.2,1020.5,366
2016-01-19,-3.4,-5.9,-2.1,0,20,23.8,6.5,15.1,1017,0
2016-01-20,-4.3,-6.1,-2.7,0,10,351,7.2,18,1021.5,0
2016-01-21,-3.5,-5,-1.1,0,20,196.1,5,15.8,1027.3,126
2016-01-22,-3.5,-6.3,-0.1,0,20,192,6.1,14,1030,192
2016-01-23,4.4,-1.3,10,1.5,0,202.6,9.7,25.9,1034.6,174
2016-01-24,3.7,-2,8,0,0,201.5,7.2,28.4,1034.9,6
2016-01-25,5.2,-0.7,12.5,0,0,187.2,6.1,22,1030.3,486
2016-01-26,9.4,3.1,15.4,0,0,198.7,11.9,36,1028.1,414
2016-01-27,11.7,6.5,14.4,0,0,195.9,16.9,44.3,1023.5,0
2016-01-28,9.2,6.2,12.3,3.7,0,274.3,10.8,42.8,1025.6,0
2016-01-29,6.3,1.3,10,1.6,0,213.1,10.4,33.8,1031.4,198
2016-01-30,6.8,2.5,10.2,5,0,209.6,22.3,66.6,1021.1,108
2016-01-31,7.8,4.7,12.9,4.9,0,204.2,15.8,40.3,1016.3,0
2016-02-01,12.3,10.1,14.5,0.3,0,209.1,21.2,49,1024.7,6
2016-02-02,10.8,6,12.9,0,0,205.1,20.2,50.4,1022.7,24
2016-02-03,5.2,2,7.5,6.8,0,203.3,11.9,53.6,1022.8,36
2016-02-04,4.4,3.1,5.8,0.5,0,200.4,20.9,57.6,1028.2,6
2016-02-05,7.4,4.1,12.3,0.4,0,186.1,8.3,24.1,1027.4,186
2016-02-06,7.8,0.6,15.4,0,0,182,10.1,38.5,1015.7,384
2016-02-07,5.5,1.3,7.6,4.7,0,192.2,13,41.8,1007.8,0
2016-02-08,9.3,5.7,13,5.2,0,207.2,32,85.7,1006.5,24
2016-02-09,9,5,13.7,4.4,0,205.1,27,81.7,998.3,12
2016-02-10,4.2,2.3,6.4,3,0,204.2,23,49.3,1001.6,6
2016-02-11,4.2,0.6,8.1,0,0,191.7,14,36.7,1008.2,42
2016-02-12,3.8,0.5,7.8,2.3,0,190.2,7.2,33.1,1000.2,312
2016-02-13,6.4,2.9,9.8,4,0,197.4,16.6,58,990.8,6
2016-02-14,6.8,4.5,8.5,5.1,0,202.8,14.8,45.4,991.7,0
2016-02-15,3.6,2.3,5.3,0.2,0,344,10.8,33.5,1013.1,0
2016-02-16,1.7,0.8,2.4,0,0,23.3,20.5,37.4,1031.2,0
2016-02-17,1.2,0,2.4,0,0,2.5,9.7,32.4,1020.9,0
2016-02-18,3.8,-0.1,8.4,0.9,0,222.2,5,22.7,1016.7,240
2016-02-19,3.4,1.9,5.2,3.9,0,207,10.8,36,1022.9,0
2016-02-20,6.1,2.6,10.8,1,0,196.3,29.5,69.8,1022,0
2016-02-21,11.2,5.5,13.2,0.1,0,197.9,24.1,59.4,1020.2,0
2016-02-22,10.2,3.5,15.4,0,0,221.3,13.3,37.4,1014.2,306
2016-02-23,6.1,2.8,10.5,8,0,189.6,16.6,43.6,1014.8,30
2016-02-24,4.1,-0.7,7.7,1.9,0,123,7.9,29.9,1017.8,378
2016-02-25,3.1,-0.6,7.3,7.5,0,15.9,9,23,1013.8,114
2016-02-26,1.3,-4.1,6.4,0,0,46.2,6.8,24.1,1012.4,408
2016-02-27,1.6,-3.8,8,0,0,18.3,9,28.1,1005.6,534
2016-02-28,2.5,-1.4,5.7,0,0,12.9,13.3,33.5,1009.2,36
2016-02-29,3.1,1.6,4.1,0,0,18.3,23.8,41.4,1016,0
2016-03-01,4,1.2,8.6,0.4,0,195.8,16.2,45,1021.3,372
2016-03-02,5.2,0.7,9.3,4.4,0,199.9,22.7,57.2,1007.3,6
2016-03-03,3.4,1.1,5.7,5.8,0,200.5,15.1,45,1005.1,24
2016-03-04,4.4,-0.4,8.3,2.5,0,193.5,9.4,27.4,1001,18
2016-03-05,5.7,3.2,7.7,2,0,191.8,12.2,37.4,996.4,0
2016-03-06,3.3,0.2,7.5,5.9,10,214.2,15.5,41.4,1003.9,78
2016-03-07,3.2,-0.5,7.2,1.7,0,193.2,12.6,36,1005.5,270
2016-03-08,1.6,0.3,3.7,1,0,134.9,5,13.3,1016.2,0
2016-03-09,2.7,-3.5,7.6,0,0,147.6,7.2,21.2,1010.4,504
2016-03-10,3.8,-0.2,9.9,0,0,19.5,9,29.2,1016.5,456
2016-03-11,3.1,-2.6,9.2,0,0,24.9,9.7,32,1024,450
2016-03-12,5.2,1.1,11,0,0,20.4,15.1,33.8,1026.5,222
2016-03-13,5.9,2.4,9.9,0,0,22.5,21.2,46.4,1027.2,126
2016-03-14,5.7,0.1,10.7,0,0,40.5,16.6,38.5,1027,378
2016-03-15,2.3,-2.5,8.1,2.1,0,27,11.5,38.2,1024.1,168
