date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010-01-01,2,-0.7,4.4,5.5,0,344.1,7.9,29.2,995.8,0
2010-01-02,-0.2,-2.2,1.4,0,0,257.2,10.8,24.1,1017.8,438
2010-01-03,-0.2,-3.1,3.1,0,0,196.7,11.9,31.7,1021.1,390
2010-01-04,-2.8,-3.5,-0.7,0,0,18.5,11.5,24.8,1016.7,0
2010-01-05,-4.3,-6.8,-1.9,0,0,7.4,6.8,16.9,1007.5,258
2010-01-06,-3.3,-4.4,-2.6,0.1,0,341.2,3.2,12.6,1004.3,0
2010-01-07,-2.8,-7.5,-0.6,0.3,10,4.6,3.6,14.4,1009.5,0
2010-01-08,-2.8,-4.8,-1.3,3.7,10,17.1,21.6,45.4,1010.7,0
2010-01-09,-3.9,-4.9,-3,2.6,70,26.7,16.2,34.2,1008.8,0
2010-01-10,-3,-3.8,-1.9,1.8,120,221.4,6.8,14.8,1014.1,0
2010-01-11,-2.9,-3.9,-2,1.6,100,214.4,3.6,11.9,1018.1,0
2010-01-12,-3.2,-9.9,-1.2,0.1,120,202,5.4,13,1014.3,30
2010-01-13,-1.9,-5.5,0.4,4.1,120,11.7,2.9,14.4,1007.4,0
2010-01-14,-1.1,-2.6,-0.2,0,80,21.8,5.8,14.8,1008.8,0
2010-01-15,0.1,-0.4,0.8,0,80,5.3,2.9,9,1022.2,0
2010-01-16,0.5,-0.5,5,1.4,50,140.4,6.1,28.4,1020.4,210
2010-01-17,6,2.2,8,1.8,0,207.3,18,44.6,1018.6,36
2010-01-18,3.6,-2,8.2,0.2,0,209.3,7.2,18.7,1027.3,192
2010-01-19,-0.6,-1.3,0.2,0,0,18.2,4,12.6,1024.1,0
2010-01-20,-1.2,-1.9,-0.3,1.2,0,219.7,5,14,1017,0
2010-01-21,1.3,-0.5,3.5,0.7,10,8.4,4,14.4,1022.1,0
2010-01-22,1.7,-1.1,2.6,0,0,3.1,7.2,13,1025,0
2010-01-23,-0.4,-3,3.7,0,0,28.3,5.4,14.4,1024.1,84
2010-01-24,-0.2,-4.2,2.3,0.3,0,334.2,3.2,10.1,1023.6,0
2010-01-25,0.6,-0.3,1.7,3.5,10,24.9,5.8,16.6,1027.9,0
2010-01-26,-2,-5,-0.2,0,0,20.4,18,40,1033.4,0
2010-01-27,-5,-9.2,-1.5,0,0,5.2,13.3,39.2,1029.5,276
2010-01-28,-0.6,-1.9,0.3,0.3,10,194.6,20.5,47.2,1011.6,0
2010-01-29,1.7,0.2,3.1,0.6,10,197.9,20.5,49.3,994.5,0
2010-01-30,-0.3,-3.7,1.5,1.3,20,238.7,10.1,29.5,996.8,12
2010-01-31,-2.7,-8.3,-0.7,0.4,20,187.8,11.9,28.8,1008.7,0
2010-02-01,-0.9,-2.5,0,0,40,195,18.4,45.7,1015,12
2010-02-02,1.6,-1.2,3.9,0,30,194.6,25.6,72.4,1017.5,36
2010-02-03,4.8,3.3,6.5,1.4,0,195.4,24.5,54.4,1013.5,0
2010-02-04,4.4,0.1,9.9,0,0,191.7,5.8,19.1,1014.4,342
2010-02-05,4.4,1,6.4,4.9,0,189.3,6.8,22,1009.4,0
2010-02-06,4.4,0.4,7.8,0,0,331.7,8.3,18.7,1013,318
2010-02-07,3.3,-1.3,5.4,0,0,23.1,10.8,24.1,1018.5,0
2010-02-08,-0.6,-2.7,4.1,0,0,28.2,9.7,28.4,1009.4,156
2010-02-09,-1.4,-3.9,1.1,0.5,0,9.6,12.2,28.4,1004,54
2010-02-10,-5.1,-7.1,-1.9,3.6,70,19.1,9.7,27.7,1008.9,36
2010-02-11,-4.5,-6.7,-2.8,1.9,80,18.2,19.1,36.7,1007.8,0
2010-02-12,-2.7,-4.2,-0.6,2.6,90,21.5,10.8,32.4,1013.9,0
2010-02-13,-2.8,-3.8,-1.9,0,100,12.9,11.9,23,1016.1,18
2010-02-14,-2.8,-3.9,-0.9,0.1,60,27.3,5,14.4,1014.5,30
2010-02-15,-1.7,-6.3,2.1,0,30,170.1,5.4,16.6,1009.7,270
2010-02-16,-1.9,-7.9,2.1,0,20,169.1,5.4,14.4,1003.6,450
2010-02-17,-0.2,-2.6,1.7,3.3,0,3.9,3.6,12.6,996.1,0
