date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-2.1,-3.6,-1.3,0,0,207.8,5.4,13.3,1034.2,0
2020-01-02,-0.9,-1.7,1.8,0,0,193,6.8,19.4,1031.1,0
2020-01-03,5.4,-0.4,9.5,0,0,225.4,11.9,41.4,1026.8,104
2020-01-04,6.4,2.8,8.1,1.5,0,242.3,11.5,28.8,1033.3,264
2020-01-05,2.7,-1.7,6.5,0.1,0,127.8,5.8,12.2,1036.5,141
2020-01-06,-0.9,-3.8,3.2,0,0,98.4,5,16.6,1030,251
2020-01-07,4.2,-0.3,9.3,0,0,196.5,8.3,21.6,1030.5,142
2020-01-08,5.5,-1.3,10.1,0,0,202.4,8.6,23.8,1029.6,1
2020-01-09,11.7,8.7,15.6,0,0,210,13.3,33.1,1020.7,99
2020-01-10,9,5.3,12,2.9,0,220.3,15.1,39.2,1023.1,66
2020-01-11,4.8,-1.1,8.6,0,0,42.3,4.7,15.8,1033.4,310
2020-01-12,2.3,-3.2,6,0,0,187,9.7,29.5,1029.7,86
2020-01-13,5.4,2.3,8.8,0,0,195.4,7.9,22,1022.5,124
2020-01-14,9.6,3,12.7,0,0,197.1,18.4,46.8,1016.6,53
2020-01-15,10.8,5.3,14.2,0,0,198.3,15.1,42.8,1020.1,436
2020-01-16,9.6,2.7,14.8,0,0,210.1,6.8,24.5,1026.6,325
2020-01-17,5.3,-1,11.2,2.4,0,201.5,8.3,26.3,1022,16
2020-01-18,4.8,0.2,7.1,0,0,216.5,8.6,25.6,1028.4,45
2020-01-19,2.1,-0.2,5,0,0,27.5,8.3,27,1037.1,16
2020-01-20,2.3,-2.1,7.1,0,0,39.2,11.5,32.8,1044,446
2020-01-21,-1.1,-5,3.4,0,0,27.8,5.4,17.6,1041,470
2020-01-22,-2.1,-5,-1.3,0,0,41.8,6.5,21.6,1036.5,0
2020-01-23,-2,-3.1,-0.9,0,0,10.4,7.9,21.2,1031.7,0
2020-01-24,0,-4.5,5.9,0,0,241,5.4,17.6,1025.7,402
2020-01-25,1.8,-1.6,7.5,0,0,1.5,4.3,16.6,1022.7,267
2020-01-26,1,-2.4,7.9,0,0,8.3,4,15.1,1020.3,237
2020-01-27,8.5,6.6,11.2,0.4,0,199.6,17.3,51.5,1013.1,3
2020-01-28,6.5,3,9.5,1.9,0,221.9,25.2,85.7,1004.5,83
2020-01-29,5.1,3.2,7,4.8,0,226.6,16.2,54.7,1014,28
2020-01-30,8.3,4.4,11.8,1.3,0,201.6,16.2,46.4,1015.4,263
2020-01-31,12.7,11.5,14.3,0,0,209.8,16.6,38.2,1014.9,0
2020-02-01,12.7,11.3,14.5,2.7,0,207,20.5,49.3,1012.5,26
2020-02-02,12.3,9.9,15.4,3.5,0,206.5,18.4,46.4,1015.3,0
2020-02-03,10.5,9.1,16.2,9.1,0,140.9,13.7,70.2,1017,0
2020-02-04,5.7,2.4,15.9,9.7,0,250,16.2,70.6,1018,102
2020-02-05,4,-1.9,8.2,1.2,0,353,7.9,23.8,1034.2,325
2020-02-06,0.8,-3.3,6.8,0,0,45.9,6.1,20.2,1033,515
2020-02-07,-1.2,-4.8,4.5,0,0,299.8,5,14.8,1028.2,449
2020-02-08,2.4,-4,12.2,0,0,216.6,4.7,15.1,1025,431
2020-02-09,10.1,0.1,15,0,0,204,25.6,82.4,1017.8,308
2020-02-10,11.9,5.7,15,12.1,0,237.2,40,93.6,1007.3,290
2020-02-11,6.3,3.7,9.4,6.5,0,248,25.6,55.4,1014.4,200
2020-02-12,5.5,2.4,8.8,0.5,0,236.5,20.9,60.8,1021.3,105
2020-02-13,5.7,0.1,10.8,6.6,0,200.4,16.6,69.5,1011.9,9
2020-02-14,7.6,2.3,11.3,0.4,0,214.8,13.3,36.7,1022.6,131
2020-02-15,7,-0.7,13.5,0,0,204.3,8.6,29.9,1023.7,503
2020-02-16,15,7.2,19.1,0,0,202.2,20.5,46.4,1015.9,272
2020-02-17,10.6,7.2,16.1,11,0,192.3,14.4,38.5,1019.8,0
2020-02-18,7.4,5.4,10.2,0,0,220.6,17.3,37.4,1028.2,142
2020-02-19,6.4,3.8,9.2,0.5,0,227.6,18,49,1024.5,165
2020-02-20,8.8,5.9,13,0,0,211.7,15.8,47.2,1022.1,403
2020-02-21,6,1.8,10.6,0.4,0,218.9,11.9,50,1030.3,328
2020-02-22,7.8,0.2,14.2,0,0,202.9,13.7,37.8,1029.4,418
2020-02-23,12.1,7.4,15.8,1.6,0,212.2,21.2,55.1,1025,0
2020-02-24,11.9,6.8,15.8,0,0,232,18.4,47.2,1019.8,272
2020-02-25,8.8,4.9,11.3,0.1,0,226.8,20.5,60.1,1006.6,7
2020-02-26,3.6,0.9,5.3,5.7,0,232.6,19.1,75.2,1006.1,81
2020-02-27,4.2,1.8,8.9,2.8,0,209.4,23.8,92.2,1005.2,0
2020-02-28,6.5,1.4,10.4,0,0,215.2,15.5,42.1,1018.1,438
2020-02-29,11.2,7,17.1,2,0,205.7,21.6,76.7,1002.3,21
2020-03-01,9.6,5.1,14.2,0.4,0,208.9,22.3,67,1000.3,177
2020-03-02,5.8,2.7,6.9,5.1,0,270.6,9.4,27,993.8,3
2020-03-03,5.1,-0.6,8,0.1,0,220,11.5,44.6,1006.2,34
