date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,6.9,0.5,11.5,0.1,0,194.8,10.4,28.4,1013,318
2014-01-02,8.3,5.2,10.2,3.1,0,189.1,16.2,40.7,1008,42
2014-01-03,7.4,0.6,12,1.2,0,197.8,14,41,1012.4,30
2014-01-04,6.6,3.1,9.2,6,0,188.8,7.2,22.7,1007,0
2014-01-05,5.5,-0.5,9.4,0.5,0,187.9,11.5,30.2,1011,240
2014-01-06,6,-1.5,12,0,0,197.9,8.3,33.8,1013.8,144
2014-01-07,12.2,9,15.3,0,0,192.9,13.3,32,1017.5,96
2014-01-08,11.4,7.4,15.2,0,0,200.4,10.1,32.4,1021.1,204
2014-01-09,10.9,5.5,14.9,0.3,0,197.5,16.2,52.6,1015,6
2014-01-10,6.5,2,11.2,1.2,0,197.8,9,28.8,1020.1,252
2014-01-11,4.3,-0.2,8.4,0.8,0,217.3,5.8,22.7,1020.6,0
2014-01-12,3,0.5,6.3,0,0,10.8,4.7,15.1,1023.9,0
2014-01-13,4,0.7,6.7,4.4,0,,,,1016.3,24
2014-01-14,5.2,3.3,7.4,1.4,0,200.1,5.4,16.9,1009,6
2014-01-15,4.7,0.7,7.7,0,0,193.9,10.1,29.9,1012.6,258
2014-01-16,6.4,3.3,8.8,7.5,0,203.4,11.2,45.4,1005.7,0
2014-01-17,6,1.5,10.5,0,0,181.1,9,28.1,1005,198
2014-01-18,1.5,-2.1,6.7,0,0,280.2,4.3,13,1003.2,216
2014-01-19,2.6,1.9,3.6,0,0,33.4,5,14,1000.6,0
2014-01-20,4.1,2.8,5.2,0.5,0,183.5,6.5,17.3,1004.6,0
2014-01-21,5.1,3.5,6.4,0,0,204.5,6.5,14,1012.9,0
2014-01-22,4.2,2.9,5.6,0,0,33.5,4.7,15.1,1013.6,0
2014-01-23,3.7,0.6,5.6,0.2,0,205.5,10.1,37.1,1015.9,0
2014-01-24,2.6,-3,5,0.4,0,237.4,7.9,34.2,1016.9,6
2014-01-25,0.9,-4.2,4.3,0,0,207,8.3,40.7,1019,210
2014-01-26,5.3,3,7.5,0.4,0,212.3,18.7,47.9,1010.7,108
2014-01-27,5.3,3.7,7.1,1.1,0,217.1,16.6,39.6,1000.6,138
2014-01-28,4.1,-1.3,8.5,0,0,178.9,11.5,28.4,1000.7,486
2014-01-29,0.5,-3.5,4,0,0,275.9,7.2,23.4,1000.3,270
2014-01-30,0.8,-1.3,3.5,0,0,7.4,7.6,28.8,1006.1,138
2014-01-31,1.7,-2.6,7,0,0,215.2,5,14,1009.7,468
2014-02-01,3.4,-2.8,8.8,3.8,0,199,10.1,34.2,1006.1,6
2014-02-02,4.4,-0.9,8.7,2.1,0,167.5,5.8,16.2,1014.9,96
2014-02-03,1.3,-2,6.4,0,0,24.6,5.8,18,1012.2,78
2014-02-04,3.8,-1,8.9,0,0,186,7.6,23,1011.1,48
2014-02-05,3,-2,7.4,0.5,0,194.1,10.1,36.7,1003.7,0
2014-02-06,8.3,4,12.9,0,0,189.9,15.5,41.8,1007,402
2014-02-07,7.7,0.9,10.7,1.1,0,194.9,19.4,59,1003.1,12
2014-02-08,7.2,2.9,10.6,1.3,0,189.9,19.4,58,1000.6,0
2014-02-09,6.7,3,9.6,0,0,195.8,22,54,1001.2,192
2014-02-10,3.9,0.9,6.6,2.1,0,8.8,7.9,26.6,996.2,0
2014-02-11,5.3,0.4,9.3,0.4,0,198.7,13.7,36.7,1007.2,180
2014-02-12,5.2,0.6,9.4,0,0,187.6,12.2,34.9,1010.2,456
2014-02-13,7.4,3.8,11.3,8,0,205.6,21.2,94.3,1002,18
2014-02-14,6.9,4.3,9.8,0,0,183.5,13.3,34.6,1008.4,36
2014-02-15,7.7,4.9,11.7,28.1,0,212.9,12.6,51.5,1005.9,0
2014-02-16,6.6,0.8,9.5,0.6,0,195.4,15.8,38.9,1014.5,6
